Date,Open,High,Low,Close,Volume,Market_Cap
Jul 08  2019,0.053430,0.061723,0.053430,0.061391,12,3 265 629
Jul 07  2019,0.053430,0.053430,0.053430,0.053430,-,2 842 127
Jul 06  2019,0.051443,0.054128,0.051415,0.053430,-,2 842 127
Jul 05  2019,0.052298,0.053401,0.050911,0.051429,-,2 735 688
Jul 04  2019,0.055114,0.055406,0.052205,0.052312,-,2 782 668
Jul 03  2019,0.065249,0.095620,0.050714,0.055118,-,2 931 911
Jul 02  2019,0.065249,0.065249,0.065249,0.065249,-,3 470 825
Jul 01  2019,0.068710,0.071452,0.065226,0.065249,-,3 470 825
Jun 30  2019,0.100158,0.100158,0.068641,0.068641,-,3 651 278
Jun 29  2019,0.104661,0.104761,0.096862,0.100158,-,5 327 770
Jun 28  2019,0.066960,0.104916,0.065205,0.104661,-,5 567 301
Jun 27  2019,0.104202,0.104202,0.062470,0.066960,-,3 561 873
Jun 26  2019,0.104202,0.104202,0.104202,0.104202,-,5 542 900
Jun 25  2019,0.098971,0.104590,0.098887,0.104202,-,5 542 900
Jun 24  2019,0.098092,0.099446,0.068272,0.098942,-,5 263 099
Jun 23  2019,0.095019,0.101044,0.094700,0.098056,11,5 215 996
Jun 22  2019,0.045723,0.098089,0.045363,0.095003,-,5 053 570
Jun 21  2019,0.061873,0.063471,0.043894,0.045723,-,2 432 186
Jun 20  2019,0.069982,0.083303,0.048976,0.061829,-,3 288 908
Jun 19  2019,0.068557,0.070096,0.068493,0.069995,-,3 723 328
Jun 18  2019,0.071355,0.090702,0.068047,0.068511,-,3 644 343
Jun 17  2019,0.092828,0.095198,0.070159,0.071386,-,3 797 271
Jun 16  2019,0.089496,0.096378,0.089496,0.092748,640,4 933 635
Jun 15  2019,0.089644,0.089993,0.088962,0.089496,-,4 760 617
Jun 14  2019,0.061690,0.089959,0.061620,0.089605,350,4 766 448
Jun 13  2019,0.084222,0.084957,0.061505,0.061622,1 444,3 277 896
Jun 12  2019,0.067610,0.084498,0.067071,0.084391,673,4 489 065
Jun 11  2019,0.063996,0.086439,0.063203,0.067610,677,3 596 439
Jun 10  2019,0.064994,0.068121,0.063268,0.063932,6 840,3 400 809
Jun 09  2019,0.065199,0.065512,0.060327,0.064994,76,3 457 256
Jun 08  2019,0.056476,0.065876,0.055058,0.065199,596,3 468 169
Jun 07  2019,0.061486,0.063863,0.055570,0.056486,134,3 004 720
Jun 06  2019,0.058817,0.061530,0.054310,0.061530,725,3 273 037
Jun 05  2019,0.061479,0.063135,0.054597,0.058876,587,3 131 823
Jun 04  2019,0.065302,0.065302,0.047435,0.061392,976,3 265 699
Jun 03  2019,0.071181,0.071181,0.055740,0.065381,712,3 477 892
Jun 02  2019,0.071181,0.071181,0.071181,0.071181,-,3 786 389
Jun 01  2019,0.071528,0.071950,0.070766,0.071181,-,3 786 389
May 31  2019,0.069005,0.071638,0.069005,0.071541,1,3 805 559
May 30  2019,0.069201,0.072022,0.068559,0.069005,-,3 670 667
May 29  2019,0.064557,0.069598,0.062670,0.069193,307,3 680 650
May 28  2019,0.050676,0.065218,0.049597,0.064556,2,3 433 979
May 27  2019,0.067730,0.069083,0.050402,0.050702,1 959,2 697 059
May 26  2019,0.066062,0.070935,0.064885,0.067701,442,3 601 268
May 25  2019,0.065503,0.066563,0.065208,0.066062,57,3 514 095
May 24  2019,0.063802,0.066734,0.063213,0.065503,115,3 484 361
May 23  2019,0.057402,0.064294,0.056044,0.063779,108,3 392 667
May 22  2019,0.058820,0.059695,0.056937,0.057477,4,3 057 448
May 21  2019,0.068082,0.068434,0.058540,0.058848,2 774,3 130 346
May 20  2019,0.070000,0.070000,0.057686,0.068096,22,3 622 284
May 19  2019,0.056163,0.070446,0.056060,0.069991,1,3 723 106
May 18  2019,0.062938,0.063946,0.056048,0.056140,5,2 986 319
May 17  2019,0.068929,0.069319,0.056497,0.062938,41,3 347 932
May 16  2019,0.062955,0.070229,0.058647,0.068956,2 485,3 668 033
May 15  2019,0.061503,0.063394,0.060784,0.063044,7,3 353 564
May 14  2019,0.062516,0.075717,0.059081,0.061538,1 291,3 273 461
May 13  2019,0.073316,0.073316,0.058720,0.062479,3 753,3 323 479
May 12  2019,0.072018,0.073694,0.069787,0.073316,-,3 899 968
May 11  2019,0.063685,0.073419,0.063671,0.072018,1,3 830 923
May 10  2019,0.069905,0.071983,0.062898,0.063685,1,3 387 630
