Date,Open,High,Low,Close,Volume,Market_Cap
Jul 08  2019,0.027164,0.029693,0.024076,0.026893,32 548,1 227 620
Jul 07  2019,0.028068,0.028300,0.024612,0.027165,13 113,1 240 017
Jul 06  2019,0.025487,0.030601,0.024568,0.028068,38 924,1 281 252
Jul 05  2019,0.026888,0.035432,0.024829,0.025499,81 881,1 163 955
Jul 04  2019,0.025331,0.029347,0.023340,0.026887,75 964,1 227 329
Jul 03  2019,0.025651,0.026944,0.023141,0.025333,35 112,1 156 389
Jul 02  2019,0.028774,0.030458,0.024376,0.025652,45 520,1 170 946
Jul 01  2019,0.024260,0.032452,0.022535,0.029719,43 480,1 356 607
Jun 30  2019,0.025672,0.026392,0.024260,0.024260,3 891,1 107 428
Jun 29  2019,0.027404,0.027408,0.024785,0.025694,5 355,1 172 852
Jun 28  2019,0.025734,0.028387,0.024105,0.027383,16 461,1 249 967
Jun 27  2019,0.029082,0.031554,0.024087,0.025734,28 661,1 174 689
Jun 26  2019,0.028431,0.032133,0.025609,0.029082,51 274,1 327 511
Jun 25  2019,0.033881,0.034206,0.027865,0.028431,84 216,1 297 799
Jun 24  2019,0.035054,0.038900,0.031405,0.033882,96 857,1 546 639
Jun 23  2019,0.033673,0.039508,0.032114,0.035054,77 786,1 600 117
Jun 22  2019,0.033675,0.036777,0.031332,0.033668,32 807,1 536 853
Jun 21  2019,0.037679,0.039454,0.033444,0.033578,112 552,1 532 761
Jun 20  2019,0.041909,0.041910,0.034322,0.037653,235 432,1 718 749
Jun 19  2019,0.035771,0.061586,0.035408,0.041917,1 206 675,1 913 425
Jun 18  2019,0.035253,0.041258,0.031896,0.035746,69 175,1 631 738
Jun 17  2019,0.035912,0.039156,0.033675,0.035269,41 058,1 609 927
Jun 16  2019,0.035506,0.038610,0.032247,0.035880,48 845,1 637 852
Jun 15  2019,0.037653,0.038997,0.033521,0.035493,43 038,1 620 173
Jun 14  2019,0.040656,0.041987,0.036704,0.037638,71 845,1 718 104
Jun 13  2019,0.041726,0.042960,0.040539,0.040629,14 520,1 854 636
Jun 12  2019,0.040609,0.051461,0.039588,0.041697,297 843,1 903 382
Jun 11  2019,0.041438,0.041582,0.039617,0.040528,5 244,1 850 017
Jun 10  2019,0.039644,0.042035,0.037915,0.041398,41 300,1 889 717
Jun 09  2019,0.045549,0.046280,0.038823,0.039743,33 869,1 814 158
Jun 08  2019,0.048061,0.048266,0.044367,0.045549,56 616,2 079 208
Jun 07  2019,0.051780,0.051909,0.041747,0.048070,288 748,2 194 298
Jun 06  2019,0.050600,0.051995,0.047847,0.051777,3 131,2 363 493
Jun 05  2019,0.045525,0.055807,0.045502,0.050595,33 722,2 309 520
Jun 04  2019,0.050077,0.052284,0.044769,0.045525,82 315,2 078 089
Jun 03  2019,0.056223,0.056425,0.049898,0.050139,77 874,2 288 730
Jun 02  2019,0.051199,0.064083,0.045746,0.056213,294 137,2 565 966
Jun 01  2019,0.050514,0.058829,0.048662,0.051199,135 514,2 337 112
May 31  2019,0.048978,0.068876,0.048466,0.050557,406 448,2 307 801
May 30  2019,0.051673,0.052966,0.047814,0.048978,12 555,2 235 749
May 29  2019,0.050864,0.052351,0.049082,0.051673,4 150,2 358 740
May 28  2019,0.051788,0.053334,0.050481,0.050874,10 548,2 322 298
May 27  2019,0.053415,0.053961,0.050085,0.051809,15 113,2 364 945
May 26  2019,0.055470,0.055919,0.049273,0.053391,41 473,2 437 188
May 25  2019,0.056750,0.060001,0.055167,0.055470,4 644,2 532 050
May 24  2019,0.062357,0.062598,0.055914,0.056750,24 459,2 590 519
May 23  2019,0.058767,0.064125,0.049792,0.062335,13 335,2 845 460
May 22  2019,0.062567,0.067588,0.058180,0.058767,8 492,2 682 569
May 21  2019,0.063109,0.063520,0.059102,0.062567,12 708,2 856 031
May 20  2019,0.065875,0.066217,0.058477,0.063141,9 225,2 882 236
May 19  2019,0.062499,0.069269,0.055308,0.065868,7 571,3 006 701
May 18  2019,0.062415,0.067347,0.060591,0.062481,18 887,2 852 108
May 17  2019,0.067897,0.073476,0.058535,0.062415,42 636,2 849 074
May 16  2019,0.073429,0.076380,0.065403,0.067956,88 863,3 102 049
May 15  2019,0.068883,0.092469,0.065631,0.073494,419 724,3 354 809
May 14  2019,0.073509,0.075486,0.066306,0.068913,22 147,3 145 715
May 13  2019,0.077361,0.083602,0.069365,0.073468,89 620,3 353 624
May 12  2019,0.075254,0.084616,0.069182,0.077361,76 215,3 531 353
May 11  2019,0.070235,0.076727,0.066016,0.075202,36 504,3 432 801
May 10  2019,0.061985,0.073076,0.061451,0.070207,51 079,3 204 774
May 09  2019,0.058788,0.063421,0.058629,0.062016,26 175,2 830 898
May 08  2019,0.053511,0.062712,0.050136,0.058791,98 260,2 683 652
May 07  2019,0.048562,0.059247,0.048562,0.053580,34 960,2 445 785
May 06  2019,0.051030,0.051182,0.046625,0.048574,12 341,2 217 265
May 05  2019,0.046983,0.051562,0.046983,0.051053,2 528,2 330 441
May 04  2019,0.056940,0.060894,0.045452,0.046978,30 016,2 144 444
May 03  2019,0.053344,0.057511,0.049711,0.056940,40 838,2 599 196
May 02  2019,0.051997,0.054072,0.051307,0.053344,5 440,2 435 016
May 01  2019,0.048716,0.053888,0.047357,0.051984,5 776,2 372 945
Apr 30  2019,0.047843,0.051328,0.047575,0.048724,7 589,2 224 141
Apr 29  2019,0.053693,0.059251,0.045965,0.047838,60 139,2 183 694
Apr 28  2019,0.051996,0.056525,0.051341,0.053668,30 879,2 449 810
Apr 27  2019,0.050079,0.055751,0.050079,0.052008,34 775,2 374 052
Apr 26  2019,0.047839,0.052791,0.045948,0.050051,26 634,2 284 724
Apr 25  2019,0.053516,0.054119,0.046118,0.047682,15 924,2 176 563
Apr 24  2019,0.052440,0.055948,0.050336,0.053515,46 312,2 442 835
Apr 23  2019,0.057242,0.057287,0.049468,0.052472,52 992,2 395 211
Apr 22  2019,0.052032,0.058631,0.051583,0.057229,32 536,2 612 382
Apr 21  2019,0.052891,0.057189,0.051578,0.052055,8 036,2 376 177
Apr 20  2019,0.053278,0.057700,0.051381,0.052870,7 844,2 413 376
Apr 19  2019,0.055638,0.055648,0.051507,0.053278,4 059,2 432 011
Apr 18  2019,0.054597,0.056776,0.054597,0.055641,10 411,2 539 887
Apr 17  2019,0.054875,0.055318,0.054238,0.054596,9 190,2 492 162
Apr 16  2019,0.053298,0.055045,0.052973,0.054898,18 181,2 505 957
Apr 15  2019,0.052510,0.056494,0.051304,0.053298,70 849,2 432 946
Apr 14  2019,0.051989,0.054689,0.050256,0.052510,16 345,2 396 942
Apr 13  2019,0.050173,0.052479,0.048408,0.051989,11 554,2 373 187
Apr 12  2019,0.053046,0.053115,0.048717,0.050173,7 623,2 290 285
Apr 11  2019,0.054662,0.057652,0.048387,0.053061,38 667,2 422 096
Apr 10  2019,0.053658,0.056629,0.053626,0.054637,26 861,2 494 061
Apr 09  2019,0.056595,0.057629,0.053550,0.053673,45 426,2 450 063
Apr 08  2019,0.053969,0.074101,0.053323,0.056595,621 899,2 583 438
Apr 07  2019,0.052159,0.054747,0.049777,0.053959,43 760,2 463 112
Apr 06  2019,0.052447,0.054175,0.048990,0.052208,43 508,2 383 184
Apr 05  2019,0.053595,0.055135,0.051653,0.052434,14 684,2 393 481
Apr 04  2019,0.054282,0.055587,0.051523,0.053595,12 064,2 446 491
Apr 03  2019,0.059249,0.060201,0.051663,0.054256,42 765,2 476 678
Apr 02  2019,0.055905,0.062561,0.054988,0.059219,81 530,2 703 185
Apr 01  2019,0.056407,0.057837,0.053960,0.056148,34 606,2 563 016
Mar 31  2019,0.055565,0.056741,0.053855,0.056431,14 502,2 575 943
Mar 30  2019,0.055989,0.058012,0.053239,0.055565,33 999,2 536 428
Mar 29  2019,0.055274,0.058316,0.052578,0.056101,131 349,2 560 869
Mar 28  2019,0.055325,0.062978,0.053437,0.055274,300 333,2 523 121
Mar 27  2019,0.058412,0.065815,0.051587,0.055325,456 386,2 525 456
Mar 26  2019,0.049785,0.072419,0.049785,0.057582,1 482 618,2 628 487
Mar 25  2019,0.054136,0.055263,0.048992,0.049767,105 095,2 271 753
Mar 24  2019,0.054698,0.066872,0.053197,0.054044,704 570,2 466 959
Mar 23  2019,0.052107,0.067539,0.051718,0.054523,715 645,2 488 843
Mar 22  2019,0.049062,0.053382,0.049062,0.052164,37 317,2 381 141
Mar 21  2019,0.050929,0.051592,0.048469,0.049155,26 166,2 243 804
Mar 20  2019,0.050759,0.053150,0.049881,0.050875,6 627,2 322 310
Mar 19  2019,0.049149,0.050757,0.044301,0.050757,27 479,2 316 930
Mar 18  2019,0.050576,0.063411,0.049091,0.049118,324 803,2 242 109
Mar 17  2019,0.049811,0.051142,0.048112,0.049863,7 881,2 269 777
Mar 16  2019,0.047879,0.051154,0.046864,0.049805,28 124,2 267 136
Mar 15  2019,0.046992,0.049553,0.044584,0.047886,14 518,2 179 803
Mar 14  2019,0.047000,0.047522,0.044071,0.047026,8 233,2 140 628
Mar 13  2019,0.044898,0.048552,0.044098,0.047015,54 728,2 140 126
Mar 12  2019,0.043674,0.046550,0.042629,0.044470,14 668,2 011 883
Mar 11  2019,0.044560,0.044908,0.042837,0.043634,17 337,1 974 099
Mar 10  2019,0.045373,0.046304,0.044144,0.044530,6 786,2 014 610
Mar 09  2019,0.043010,0.045957,0.043010,0.045314,15 562,2 050 071
Mar 08  2019,0.043390,0.047195,0.042739,0.043040,58 588,1 947 216
Mar 07  2019,0.044977,0.047477,0.041280,0.043341,30 022,1 960 809
Mar 06  2019,0.041463,0.048229,0.040726,0.044941,133 809,2 033 197
Mar 05  2019,0.039753,0.044758,0.038462,0.041526,80 091,1 878 716
Mar 04  2019,0.040343,0.042017,0.037871,0.039724,37 843,1 797 206
Mar 03  2019,0.040960,0.041079,0.039193,0.040409,9 861,1 828 169
Mar 02  2019,0.040908,0.041326,0.039304,0.040999,26 807,1 854 881
Mar 01  2019,0.038918,0.041527,0.038788,0.040970,35 102,1 853 547
Feb 28  2019,0.039256,0.040925,0.038894,0.039112,13 586,1 769 494
Feb 27  2019,0.038314,0.045331,0.037838,0.039550,106 482,1 789 322
Feb 26  2019,0.040600,0.041585,0.038019,0.038301,181 761,1 732 818
Feb 25  2019,0.038210,0.055959,0.038209,0.040785,671 289,1 845 186
Feb 24  2019,0.044912,0.046238,0.038024,0.038139,39 038,1 725 468
Feb 23  2019,0.043494,0.045685,0.042814,0.044884,60 830,2 030 631
Feb 22  2019,0.043229,0.049331,0.042927,0.042927,213 370,1 942 102
Feb 21  2019,0.041909,0.045742,0.041613,0.043389,51 984,1 962 982
Feb 20  2019,0.040800,0.042382,0.040594,0.041924,15 298,1 896 725
Feb 19  2019,0.040070,0.041816,0.039380,0.040835,32 735,1 847 436
Feb 18  2019,0.036911,0.050942,0.036610,0.040022,284 494,1 810 674
Feb 17  2019,0.036401,0.037022,0.035439,0.036902,5 115,1 669 533
Feb 16  2019,0.034847,0.036597,0.034847,0.036399,6 200,1 646 740
Feb 15  2019,0.035581,0.036052,0.034363,0.034822,1 076,1 575 428
Feb 14  2019,0.036237,0.036450,0.035394,0.035540,3 178,1 607 877
Feb 13  2019,0.036525,0.037202,0.034972,0.036300,23 573,1 642 268
Feb 12  2019,0.036550,0.036761,0.036165,0.036535,1 997,1 652 918
Feb 11  2019,0.037328,0.037328,0.036480,0.036480,2 101,1 650 410
Feb 10  2019,0.037147,0.037353,0.036470,0.037353,13 642,1 689 923
Feb 09  2019,0.037542,0.037717,0.033417,0.037110,3 101,1 678 914
Feb 08  2019,0.034686,0.038052,0.033616,0.037567,33 393,1 699 595
Feb 07  2019,0.034062,0.035256,0.034012,0.034677,24 284,1 568 863
Feb 06  2019,0.034702,0.034702,0.032996,0.034054,40 460,1 540 653
Feb 05  2019,0.035413,0.035748,0.033624,0.034600,53 525,1 565 367
Feb 04  2019,0.034619,0.035303,0.033933,0.034996,12 106,1 583 277
Feb 03  2019,0.034268,0.035533,0.033427,0.034618,20 561,1 566 203
Feb 02  2019,0.034077,0.035633,0.032917,0.034294,15 110,1 551 509
Feb 01  2019,0.033663,0.035295,0.032334,0.034141,40 583,1 544 609
Jan 31  2019,0.030892,0.035255,0.030073,0.034025,76 091,1 539 360
Jan 30  2019,0.029594,0.032225,0.028742,0.030906,38 583,1 398 235
Jan 29  2019,0.029430,0.030439,0.027325,0.029574,37 589,1 337 991
Jan 28  2019,0.031140,0.031772,0.028422,0.029414,61 379,1 330 756
Jan 27  2019,0.032391,0.033450,0.029885,0.031115,76 453,1 407 685
Jan 26  2019,0.031213,0.033587,0.030873,0.032377,132 548,1 464 775
Jan 25  2019,0.033281,0.033670,0.028952,0.031246,168 432,1 413 627
Jan 24  2019,0.036102,0.043293,0.032734,0.033187,294 971,1 492 287
Jan 23  2019,0.031181,0.036731,0.029402,0.036130,61 608,1 624 648
Jan 22  2019,0.031808,0.035239,0.027402,0.031188,251 805,1 402 429
Jan 21  2019,0.024423,0.032854,0.024423,0.028851,281 198,1 297 337
Jan 20  2019,0.026204,0.026261,0.023706,0.024399,65 102,1 097 143
Jan 19  2019,0.029791,0.029791,0.025841,0.026229,137 841,1 179 436
Jan 18  2019,0.024809,0.039300,0.024027,0.029791,328 411,1 339 603
